SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC),name,network_id,signal,frequency,longitude,latitude
LAY77,98:1a:35:83:dd:80,"HUAWEI TECHNOLOGIES CO.,LTD",45,69,-80,-72,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:23:12.165,LAY77,98:1a:35:83:dd:80,-69,2417,102.6217617857508,17.97934342962204
77,22:5f:a3:a9:ac:09,Unknown,63,63,-74,-74,WPA2-Personal,CCMP,802.11ac,2,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:23:18.919,77,22:5f:a3:a9:ac:09,-82,2417,102.62177503525784,17.979362172490305
TAP486676C4046A00216,4c:24:ce:c0:c2:08,"Sichuan AI-Link Technology Co., Ltd.",27,27,-86,-86,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:23:22.317,TAP486676C4046A00216,4c:24:ce:c0:c2:08,-86,2437,102.6217617857508,17.97934342962204
UNITEL_ANH,5c:92:5e:a6:90:10,Zioncom Electronics (Shenzhen) Ltd.,45,76,-80,-69,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:23:29.474,UNITEL_ANH,5c:92:5e:a6:90:10,-67,2412,102.62197050207944,17.979913267794448
Sone,6c:14:6e:e1:6f:00,"HUAWEI TECHNOLOGIES CO.,LTD",15,15,-90,-90,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:23:32.543,Sone,6c:14:6e:e1:6f:00,-76,2417,102.62209943941,17.979492650531444
Suvanno,64:5e:10:5a:7a:f0,"HUAWEI TECHNOLOGIES CO.,LTD",36,57,-83,-76,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:05.092,Suvanno,64:5e:10:5a:7a:f0,-68,2422,102.6211360812632,17.979952992582092
ABC home,24:43:e2:3f:f4:47,DASAN Network Solutions,36,82,-83,-60,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:09.367,ABC home,24:43:e2:3f:f4:47,-78,2417,102.61968373053976,17.9796357794686
LTC,6c:14:6e:71:2c:34,"HUAWEI TECHNOLOGIES CO.,LTD",3,66,-94,-73,Open,,802.11n,6,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:11.497,LTC,6c:14:6e:71:2c:34,-77,2437,102.61959441546536,17.979636845610557
1ef9646e,f4:91:1e:f9:64:6e,ZHUHAI EWPE INFORMATION TECHNOLOGY INC,39,82,-82,-59,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:11.497,1ef9646e,f4:91:1e:f9:64:6e,-65,2412,102.61968373053976,17.9796357794686
UNITEL_PkQXz2,58:d3:12:e3:38:97,Unknown,39,78,-82,-66,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:11.497,UNITEL_PkQXz2,58:d3:12:e3:38:97,-69,2452,102.62011388925092,17.979712806060125
Tuk 5G,04:e7:95:3c:cf:c8,"HUAWEI TECHNOLOGIES CO.,LTD",3,80,-94,-62,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:14.512,Tuk 5G,04:e7:95:3c:cf:c8,-58,5745,102.61916524775864,17.97953021032589
Make up by liza,64:5e:10:5a:d4:c8,"HUAWEI TECHNOLOGIES CO.,LTD",60,79,-75,-65,WPA2-Personal,CCMP,802.11n,5,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:14.512,Make up by liza,64:5e:10:5a:d4:c8,-70,2432,102.61936097248564,17.97957252871472
LTC,c4:fb:aa:a7:85:20,"HUAWEI TECHNOLOGIES CO.,LTD",12,79,-91,-65,Open,,802.11n,10,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:15.999,LTC,c4:fb:aa:a7:85:20,-60,2457,102.61968373053976,17.9796357794686
AEK suvan clinic,ec:7c:2c:97:34:05,"HUAWEI TECHNOLOGIES CO.,LTD",6,54,-93,-77,WPA2-Personal,CCMP,802.11ax,44,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:17.426,AEK suvan clinic,ec:7c:2c:97:34:05,-79,5220,102.61968373053976,17.9796357794686
Xay_IPv6,fc:1b:d1:8c:eb:e5,"HUAWEI TECHNOLOGIES CO.,LTD",15,76,-90,-69,Open,,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:17.426,Xay_IPv6,fc:1b:d1:8c:eb:e5,-81,5180,102.62011388925092,17.979712806060125
lee,cc:29:bd:68:72:0e,zte corporation,21,84,-88,-57,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:17.426,lee,cc:29:bd:68:72:0e,-66,2452,102.61655605003496,17.978986090784026
AEK suvan clinic,ec:7c:2c:97:34:00,"HUAWEI TECHNOLOGIES CO.,LTD",54,79,-77,-64,WPA2-Personal,CCMP,802.11ac,4,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:21.560,AEK suvan clinic,ec:7c:2c:97:34:00,-74,2427,102.61968373053976,17.9796357794686
Khiem and Nutza,3c:15:fb:a5:fa:74,"HUAWEI TECHNOLOGIES CO.,LTD",69,81,-72,-61,WPA2-Personal,CCMP,802.11n,4,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:22.955,Khiem and Nutza,3c:15:fb:a5:fa:74,-69,2427,102.61916524775864,17.97953021032589
Lyly fashion,64:2c:ac:d4:6e:28,"HUAWEI TECHNOLOGIES CO.,LTD",78,78,-66,-66,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:22.955,Lyly fashion,64:2c:ac:d4:6e:28,-72,2412,102.61968373053976,17.9796357794686
1,b0:08:75:f9:7a:01,"HUAWEI TECHNOLOGIES CO.,LTD",12,18,-91,-89,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:24.593,1,b0:08:75:f9:7a:01,-96,5745,102.61959441546536,17.979636845610557
newSMT21 5G,b0:08:75:f9:7a:00,"HUAWEI TECHNOLOGIES CO.,LTD",15,15,-90,-90,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:24.593,newSMT21 5G,b0:08:75:f9:7a:00,-92,5745,102.61968373053976,17.9796357794686
HUAWEI-5G-a4aN,64:2c:ac:d4:6e:2c,"HUAWEI TECHNOLOGIES CO.,LTD",66,66,-73,-73,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:24.593,HUAWEI-5G-a4aN,64:2c:ac:d4:6e:2c,-75,5180,102.61958152902156,17.979616110170653
neng,cc:29:bd:69:9b:98,zte corporation,36,82,-83,-59,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:27.157,neng,cc:29:bd:69:9b:98,-66,2447,102.61834534116124,17.979383250889224
Xay_IPv6,fc:1b:d1:8c:eb:e1,"HUAWEI TECHNOLOGIES CO.,LTD",45,45,-80,-80,Open,,802.11n,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:27.157,Xay_IPv6,fc:1b:d1:8c:eb:e1,-69,2462,102.61968373053976,17.9796357794686
Xay_IPv4,fc:1b:d1:8c:eb:e4,"HUAWEI TECHNOLOGIES CO.,LTD",51,72,-78,-71,Open,,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:27.157,Xay_IPv4,fc:1b:d1:8c:eb:e4,-81,5180,102.62011388925092,17.979712806060125
Xay_IPv4,fc:1b:d1:8c:eb:e0,"HUAWEI TECHNOLOGIES CO.,LTD",66,66,-73,-73,Open,,802.11n,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:27.157,Xay_IPv4,fc:1b:d1:8c:eb:e0,-67,2462,102.61968373053976,17.9796357794686
AP_FL3.2,30:de:4b:66:7b:1c,TP-Link Corporation Limited,54,81,-77,-61,WPA2-Personal,CCMP,802.11ac,7,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:27.157,AP_FL3.2,30:de:4b:66:7b:1c,-65,2442,102.61968373053976,17.9796357794686
BIG_Family,60:de:f3:81:b2:30,"HUAWEI TECHNOLOGIES CO.,LTD",72,84,-71,-56,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:27.157,BIG_Family,60:de:f3:81:b2:30,-71,2452,102.61968373053976,17.9796357794686
AP_FL3.2,30:de:4b:66:7b:1e,TP-Link Corporation Limited,27,48,-86,-79,WPA2-Personal,CCMP,802.11ac,153,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:32.975,AP_FL3.2,30:de:4b:66:7b:1e,-82,5765,102.6206668906412,17.979007633322624
LTC,ac:99:29:72:6c:f8,"HUAWEI TECHNOLOGIES CO.,LTD",75,75,-70,-70,Open,,802.11n,3,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:34.403,LTC,ac:99:29:72:6c:f8,-73,2422,102.61988670461976,17.979121868215884
LTC,ac:99:29:72:6c:fc,"HUAWEI TECHNOLOGIES CO.,LTD",79,79,-65,-65,Open,,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:34.403,LTC,ac:99:29:72:6c:fc,-85,5745,102.61988670461976,17.979121868215884
Myphone5G,04:e7:95:3d:45:e8,"HUAWEI TECHNOLOGIES CO.,LTD",24,24,-87,-87,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:37.293,Myphone5G,04:e7:95:3d:45:e8,-81,5745,102.61988670461976,17.979121868215884
HUAWEI-5G-P4mT,e8:f6:54:bd:7e:01,"HUAWEI TECHNOLOGIES CO.,LTD",30,30,-85,-85,WPA2-Personal,CCMP,802.11ax,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:37.293,HUAWEI-5G-P4mT,e8:f6:54:bd:7e:01,-92,5200,102.61988670461976,17.979121868215884
Myphone,04:e7:95:3d:45:e4,"HUAWEI TECHNOLOGIES CO.,LTD",51,60,-78,-75,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:37.293,Myphone,04:e7:95:3d:45:e4,-80,2462,102.61988670461976,17.979121868215884
Vanhchaleun3,14:4d:67:4c:52:1c,Zioncom Electronics (Shenzhen) Ltd.,80,80,-63,-63,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:37.293,Vanhchaleun3,14:4d:67:4c:52:1c,-67,2412,102.61991636856338,17.97879977780645
DIRECT-Mw-EPSON-L5290 Series,3a:1a:52:f7:d8:e9,Unknown,24,24,-87,-87,WPA2-Personal,CCMP,802.11n,11,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:39.961,DIRECT-Mw-EPSON-L5290 Series,3a:1a:52:f7:d8:e9,-97,2462,102.61988670461976,17.979121868215884
Visitor,b4:04:21:86:f0:00,zte corporation,39,82,-82,-60,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:39.961,Visitor,b4:04:21:86:f0:00,-80,2422,102.61991636856338,17.97879977780645
Dinh MinhLe,b4:04:21:87:e2:88,zte corporation,42,42,-81,-81,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:39.961,Dinh MinhLe,b4:04:21:87:e2:88,-78,2452,102.61991636856338,17.97879977780645
AP2/2,c0:25:2f:b7:13:0a,"SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.",45,54,-80,-77,WPA2-Personal,CCMP,802.11n,10,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:45.123,AP2/2,c0:25:2f:b7:13:0a,-80,2457,102.61986424747,17.978520284134788
Loskeo,3c:15:fb:a5:f8:38,"HUAWEI TECHNOLOGIES CO.,LTD",75,77,-70,-68,WPA2-Personal,CCMP,802.11n,7,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:53.778,Loskeo,3c:15:fb:a5:f8:38,-61,2442,102.61977684908366,17.97799349980271
Vanida,f4:28:53:e9:7b:38,Zioncom Electronics (Shenzhen) Ltd.,33,85,-84,-54,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:56.692,Vanida,f4:28:53:e9:7b:38,-59,2412,102.619243124836,17.97623710699217
Kee,b4:04:21:88:07:0c,zte corporation,63,81,-74,-61,WPA2-Personal,CCMP,802.11n,4,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:24:56.692,Kee,b4:04:21:88:07:0c,-64,2427,102.6196574647487,17.977418710486933
LamDuan,58:d3:12:e3:02:97,Unknown,72,72,-71,-71,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:01.424,LamDuan,58:d3:12:e3:02:97,-79,2447,102.6196574647487,17.977418710486933
TECNO SPARK Go 2024,1a:e4:ca:c5:4f:5c,Unknown,54,54,-77,-77,WPA2-Personal,CCMP,802.11ac,11,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:04.674,TECNO SPARK Go 2024,1a:e4:ca:c5:4f:5c,-78,2462,102.6196574647487,17.977418710486933
YIHONG,14:4d:67:53:e7:c4,Zioncom Electronics (Shenzhen) Ltd.,72,72,-71,-71,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:04.674,YIHONG,14:4d:67:53:e7:c4,-66,2412,102.61960191337432,17.977226767822565
Souksavan,b8:85:7b:8b:43:0d,"HUAWEI TECHNOLOGIES CO.,LTD",18,39,-89,-82,WPA2-Personal,CCMP,802.11ax,44,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:08.207,Souksavan,b8:85:7b:8b:43:0d,-90,5220,102.61960191337432,17.977226767822565
I Believe We Can Fi,28:68:d2:0e:ad:dc,"HUAWEI TECHNOLOGIES CO.,LTD",39,76,-82,-69,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:08.207,I Believe We Can Fi,28:68:d2:0e:ad:dc,-70,2447,102.61954542923704,17.97703826771331
SUNJII,0c:b6:d2:24:92:5f,D-Link International,51,80,-78,-62,WPA2-Personal,CCMP,802.11n,10,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:08.207,SUNJII,0c:b6:d2:24:92:5f,-63,2457,102.61950981094876,17.97687735512693
I Believe We Can Fi 5G,28:68:d2:0e:ad:e0,"HUAWEI TECHNOLOGIES CO.,LTD",57,77,-76,-68,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:08.207,I Believe We Can Fi 5G,28:68:d2:0e:ad:e0,-70,5745,102.61954542923704,17.97703826771331
Tsd,cc:29:bd:68:90:9e,zte corporation,51,76,-78,-69,WPA2-Personal,CCMP,802.11n,4,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:12.192,Tsd,cc:29:bd:68:90:9e,-74,2427,102.61949218248364,17.976730025789863
"TSD Sole Co.,LTD",b0:19:21:45:65:be,Unknown,30,39,-85,-82,WPA2-Personal,CCMP,802.11ax,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:15.381,"TSD Sole Co.,LTD",b0:19:21:45:65:be,-89,5200,102.61950981094876,17.97687735512693
TSD 5G,14:46:58:e6:54:e0,"HUAWEI TECHNOLOGIES CO.,LTD",33,36,-84,-83,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:15.381,TSD 5G,14:46:58:e6:54:e0,-79,5745,102.61950981094876,17.97687735512693
Mit ,2c:55:d3:b7:23:e8,"HUAWEI TECHNOLOGIES CO.,LTD",63,87,-74,-51,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:15.381,Mit ,2c:55:d3:b7:23:e8,-68,2412,102.61941371113028,17.976602312437613
Name summer,fc:e3:3c:a7:9c:eb,"HUAWEI TECHNOLOGIES CO.,LTD",66,76,-73,-69,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:15.381,Name summer,fc:e3:3c:a7:9c:eb,-76,2417,102.61941371113028,17.976602312437613
I Believe We Can Fi,c2:25:2f:0f:b4:b9,Unknown,69,69,-72,-72,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:15.381,I Believe We Can Fi,c2:25:2f:0f:b4:b9,-69,2447,102.61954542923704,17.97703826771331
"TSD Sole Co.,LTD",b0:19:21:45:65:bf,Unknown,60,60,-75,-75,WPA2-Personal,CCMP,802.11ax,10,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:18.762,"TSD Sole Co.,LTD",b0:19:21:45:65:bf,-85,2457,102.61949218248364,17.976730025789863
TSD 2.4G,14:46:58:e6:54:dc,"HUAWEI TECHNOLOGIES CO.,LTD",60,60,-75,-75,WPA2-Personal,CCMP,802.11n,7,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:18.762,TSD 2.4G,14:46:58:e6:54:dc,-84,2442,102.61950981094876,17.97687735512693
"TSD SOLE CO.,LTD",cc:29:bd:68:64:ee,zte corporation,72,72,-71,-71,WPA2-Personal,CCMP,802.11n,5,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:18.762,"TSD SOLE CO.,LTD",cc:29:bd:68:64:ee,-72,2432,102.61950981094876,17.97687735512693
"TSD SOLE CO.,LTD_EXT",3c:52:a1:b1:ab:23,Unknown,42,42,-81,-81,WPA2-Personal,CCMP,802.11ax,5,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:23.076,"TSD SOLE CO.,LTD_EXT",3c:52:a1:b1:ab:23,-76,2432,102.61954542923704,17.97703826771331
HUAWEI-E5330-E0D5,a4:ca:a0:74:e0:d5,"HUAWEI TECHNOLOGIES CO.,LTD",77,79,-68,-65,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:23.076,HUAWEI-E5330-E0D5,a4:ca:a0:74:e0:d5,-57,2412,102.61941371113028,17.976602312437613
Tony,14:46:58:e7:0e:54,"HUAWEI TECHNOLOGIES CO.,LTD",51,51,-78,-78,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:24.929,Tony,14:46:58:e7:0e:54,-76,2462,102.61941371113028,17.976602312437613
TONYsecond,06:f9:f8:0b:f8:d4,Unknown,51,51,-78,-78,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:27.259,TONYsecond,06:f9:f8:0b:f8:d4,-80,2462,102.61949218248364,17.976730025789863
Phimsamai,b0:8b:92:74:fd:08,zte corporation,60,75,-75,-70,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:27.259,Phimsamai,b0:8b:92:74:fd:08,-81,2422,102.61941371113028,17.976602312437613
SAntixay keovongsai,f4:28:53:f0:bb:44,Zioncom Electronics (Shenzhen) Ltd.,69,84,-72,-56,WPA2-Personal,CCMP,802.11ac,11,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:27.259,SAntixay keovongsai,f4:28:53:f0:bb:44,-59,2462,102.61939105206244,17.976404359947473
Galaxy A34 5G B821,62:3a:0e:49:cb:fa,Unknown,45,48,-80,-79,WPA2-Personal,CCMP,802.11ac,6,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:31.574,Galaxy A34 5G B821,62:3a:0e:49:cb:fa,-77,2437,102.61934330354728,17.976276230247443
Nova,b0:8b:92:76:73:ba,zte corporation,54,80,-77,-63,WPA2-Personal,CCMP,802.11n,5,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:31.574,Nova,b0:8b:92:76:73:ba,-71,2432,102.61934330354728,17.976276230247443
My VW 0085,2e:d1:c6:06:b0:4b,Unknown,48,77,-79,-68,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:33.925,My VW 0085,2e:d1:c6:06:b0:4b,-68,2437,102.61934330354728,17.976276230247443
LAMINA,b0:08:75:f9:8c:65,"HUAWEI TECHNOLOGIES CO.,LTD",9,48,-92,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:36.691,LAMINA,b0:08:75:f9:8c:65,-89,5180,102.619243124836,17.97623710699217
LTC_FTTH 2,dc:99:14:ae:a0:cc,"HUAWEI TECHNOLOGIES CO.,LTD",18,48,-89,-79,WPA2-Personal,CCMP,802.11ac,60,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:36.691,LTC_FTTH 2,dc:99:14:ae:a0:cc,-84,5300,102.61934330354728,17.976276230247443
LTC,6c:14:6e:72:31:70,"HUAWEI TECHNOLOGIES CO.,LTD",51,69,-78,-72,Open,,802.11n,9,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:38.709,LTC,6c:14:6e:72:31:70,-73,2452,102.61901773460612,17.976221615143317
Seng,b0:08:75:f9:0b:64,"HUAWEI TECHNOLOGIES CO.,LTD",3,30,-94,-85,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:25:38.709,Seng,b0:08:75:f9:0b:64,-85,5180,102.61901773460612,17.976221615143317
